section,metric,dimension,value
global,total_attempts,all,24
global,distinct_users_with_attempts,all,4
global,attempt_date_span_days,all,8
accuracy,global_accuracy_percent,all,94.92
mode_distribution,attempt_count,theme,17
mode_distribution,attempt_count,daily,7
theme_popularity,attempt_count,reseaux_sociaux,8
theme_popularity,attempt_count,vocabulaire,6
theme_popularity,attempt_count,tech,5
theme_popularity,attempt_count,gaming,2
theme_popularity,attempt_count,trends_pop_culture,2
theme_popularity,attempt_count,relations_lifestyle,1
accuracy_bands,attempt_count,0-39,0
accuracy_bands,attempt_count,40-59,0
accuracy_bands,attempt_count,60-79,1
accuracy_bands,attempt_count,80-100,23
returning_user_proxy,users_with_2plus_attempts,all,3
returning_user_proxy,users_with_2plus_active_days,all,1
returning_user_proxy,returning_rate_by_active_days_percent,all,25
profiles_summary,profile_count,all,6
profiles_summary,current_streak_p50,all,1
profiles_summary,current_streak_p90,all,3
profiles_summary,longest_streak_p50,all,1
profiles_summary,longest_streak_p90,all,3
profiles_summary,total_xp_p50,all,700
profiles_summary,total_xp_p90,all,1407
