question_id,duplicate_group_id,current_concept_key,proposed_concept_key,source,confidence,inclusion_status,exclusion_reason
03bbe3e1-c691-430e-b1ab-9c823e20e7bc,exact_00f71d1f9d24,,un_meme,concept_key_suggestion_default,high,included_safe_batch,
88b42927-670e-4a21-9468-7bcf68d0ebce,exact_00f71d1f9d24,,un_meme,concept_key_suggestion_default,high,included_safe_batch,
83505e5f-33b0-470b-80bd-b2c6cf27d0d5,exact_011cf282a5bc,,un_cooldown,concept_key_suggestion_default,high,included_safe_batch,
86cd53ee-560e-468a-a419-2f2a297869c5,exact_011cf282a5bc,,un_cooldown,concept_key_suggestion_default,high,included_safe_batch,
cd0d3e5b-cac4-47e8-ba43-2a8c511a1ad2,exact_01ac20fd19ac,,un_meme_template,concept_key_suggestion_default,high,included_safe_batch,
e1238f50-6cb6-47ef-a70c-a39a66be02a4,exact_01ac20fd19ac,,un_meme_template,concept_key_suggestion_default,high,included_safe_batch,
415fd5a6-0e74-4c65-9603-f2ba7a767878,exact_091911137007,,un_skin,concept_key_suggestion_default,high,included_safe_batch,
85073b32-bb36-4947-8320-78f7e3818508,exact_091911137007,,un_skin,concept_key_suggestion_default,high,included_safe_batch,
7ce0eacd-f586-4ce4-a478-be856a579172,exact_0c2693559b74,,un_fail,concept_key_suggestion_default,high,included_safe_batch,
7f716b69-5755-4499-a8d0-460885a45784,exact_0c2693559b74,,un_fail,concept_key_suggestion_default,high,included_safe_batch,
223ad5ae-5148-4066-90c0-9ed52bf80083,exact_0f3c94756c11,,texting,concept_key_suggestion_default,high,included_safe_batch,
23d3438d-e8e4-4f32-9676-f5ab6d1976fc,exact_0f3c94756c11,,texting,concept_key_suggestion_default,high,included_safe_batch,
882b1af2-61a2-4ba7-be57-bbd2050cd092,exact_11bd5b30b813,,un_compte_verifie,concept_key_suggestion_default,high,included_safe_batch,
bee59c3e-8ef6-4c34-89c3-c6ce7801f9f3,exact_11bd5b30b813,,un_compte_verifie,concept_key_suggestion_default,high,included_safe_batch,
88036ce7-a2fd-429d-836c-8256a12f5387,exact_130a1d2b71e5,,triggered,concept_key_suggestion_default,high,included_safe_batch,
c9cfdd7b-c02e-4477-9b5d-4baa7de7bd4b,exact_130a1d2b71e5,,triggered,concept_key_suggestion_default,high,included_safe_batch,
02314edb-17d6-4ce9-b8d4-06d3b2d31cef,exact_1678a7abdb42,,un_ping,concept_key_suggestion_default,high,included_safe_batch,
3a25f0e3-f836-4059-a152-d7be91ae9e78,exact_1678a7abdb42,,un_ping,concept_key_suggestion_default,high,included_safe_batch,
c0625aa6-1162-4b35-abee-da2483e87241,exact_17ae5993aa0c,,un_remix,concept_key_suggestion_default,high,included_safe_batch,
d2e36408-6d28-4e3d-bf93-3087226b5032,exact_17ae5993aa0c,,un_remix,concept_key_suggestion_default,high,included_safe_batch,
28e32e91-0f5c-43ed-a935-99065c611090,exact_1879aa61ba16,,clutch,concept_key_suggestion_default,high,included_safe_batch,
c507662c-d78e-4f9f-931f-817a8d048172,exact_1879aa61ba16,,clutch,concept_key_suggestion_default,high,included_safe_batch,
2e9fbff2-b362-4400-b728-95122cd5790b,exact_1a132bb2d4d0,,un_reaction,concept_key_suggestion_default,high,included_safe_batch,
b82a4fd5-5aae-4f94-9382-cf6811714a15,exact_1a132bb2d4d0,,un_reaction,concept_key_suggestion_default,high,included_safe_batch,
191559b5-9b40-441b-9b0f-41470d805448,exact_1f37c5b6709f,,contenu_sponsorise,concept_key_suggestion_default,high,included_safe_batch,
5f081042-cc27-44e0-9db0-eec4bae557bb,exact_1f37c5b6709f,,contenu_sponsorise,concept_key_suggestion_default,high,included_safe_batch,
4d2d6587-a46e-436d-80ba-27b7279144a8,exact_251d50b01d90,,un_challenge,concept_key_suggestion_default,high,included_safe_batch,
d0d0cb78-96e6-442b-be12-d21eb992b007,exact_251d50b01d90,,un_challenge,concept_key_suggestion_default,high,included_safe_batch,
5cdde004-cab4-4094-b44a-460e4734741d,exact_2a31b3574af2,,un_album_drop,concept_key_suggestion_default,high,included_safe_batch,
973c379d-2b06-4676-be21-01f9498ba962,exact_2a31b3574af2,,un_album_drop,concept_key_suggestion_default,high,included_safe_batch,
403251de-3624-4fdb-ac1f-3a1af46297d4,exact_2d4021b2df5a,,unfollow,concept_key_suggestion_default,high,included_safe_batch,
cb0e54cb-acd5-4ad1-b05f-515a3e59051a,exact_2d4021b2df5a,,unfollow,concept_key_suggestion_default,high,included_safe_batch,
70d06ca1-c8c8-4685-8b32-2cf890035cc8,exact_2dbcecb6cd8c,,un_tuto,concept_key_suggestion_default,high,included_safe_batch,
f3c43b57-8e46-4a1f-aa5e-2779352e09af,exact_2dbcecb6cd8c,,un_tuto,concept_key_suggestion_default,high,included_safe_batch,
77a067b9-df8e-4620-acbe-9f07256fe547,exact_345f9a4f883f,,un_hater,concept_key_suggestion_default,high,included_safe_batch,
c7eb9085-9685-4af7-bbd7-5a49a30dadb8,exact_345f9a4f883f,,un_hater,concept_key_suggestion_default,high,included_safe_batch,
